source_id,source_id_dr2,Alias,Name,SpType_a,Class,Extras,Spectral Type,Note,Ref,source_#,Source,Cluster/Association Note,2mass_id,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,blue_mag_opt,visual_or_red_mag_opt,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,grvs_mag,grvs_mag_error,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,r_med_geo,r_lo_geo,r_hi_geo,phot_g_mean_mag_dr2,phot_bp_mean_mag_dr2,phot_rp_mean_mag_dr2,bp_rp_dr2,bp_g_dr2,g_rp_dr2,radial_velocity_dr2,radial_velocity_error_dr2,a_g_val_dr2,r_est_dr2,r_lo_dr2,r_hi_dr2,r_len_dr2,ruwe_dr2,Teff,Teff_error,(B-V)_0,(V-Ks)_0,(J-Ks)_0,(H-Ks)_0,A_Ks,A_Ks_sig,A_H,A_J,Ks,H,J,BCKs,BCKs_sig,DM,DM_sig+,DM_sig-,A_V,Ks_0,Ks_0_sig,H_0,J_0,MKs,MKs_sig+,MKs_sig-,Mbol,Mbol_sig+,Mbol_sig-,log(R/R.),R*,log(L/L.),log_Teff,x_kpc,y_kpc,z_kpc,Mbol_min,Method,Simbad Classification
5254548893611640704,5254548893611640704,BM VIII  11,[A72c] 42                  ,M0,I:,,M0I:,,Skiff,0,Skiff, ,J10365382-5925450,5.038,0.037000000000000005,3.787,0.252,3.345,0.23600000000000002,12.06,10.76,2016.0,159.2242848632473,0.021765583999999998,-59.42923464607579,0.022521365,0.180859672266359,0.025510984,7.0894823,6.113715,-5.552896136493777,0.030306972999999997,2.5579008650429342,0.027308193999999997,0.80039763,9.021082,11.213475,7.6925089999999985,3.5209660000000005,2.1923932999999995,1.3285728,13.998505999999999,0.6564905,6.9938455,0.03381315,VARIABLE,286.5671710278171,-0.9015883409489216,200.4125460489571,-59.50971275930566,False,False,0.0,6.6044,6.5992,6.6094,4.3942,4.391,4.3973,4792.8867,4218.498,5416.0776,8.971260000000003,11.057542999999999,7.6419362999999985,3.4156065000000004,2.0862827,1.3293238,14.60454040455538,1.1971577908755413,,3125.7602572053197,2650.2594808339604,3793.449691129621,1525.51353949062,0.87133783,3790.0,110.5,1.69,3.82,0.99,0.21,0.45401568648968,0.0467388816177845,0.7550478264447941,1.2978926689868029,3.345,3.787,5.038,2.697769,0.08385845,13.402985813698368,0.2823438002846187,0.2602334026356001,4.934953114018262,2.8909843135103204,0.2405837131953892,3.740107331013197,2.4891073310131966,-10.512001500188044,0.3709427780858416,0.3544036496739045,-7.814232500188045,0.3803035422533485,0.3641897672074081,2.877568080101465,754.3416373456737,5.045693000075217,3.5786392099680717,-6.423862799609825,-5.298957164717018,-0.06693280534109727,-8.194536042441394,Method 1,RedSG_Candidate
4053746921812716928,4053746921812716928,"Cl Trumpler 27 1, 2MASS J17361012-3329407","Cl Trumpler 27 1, 2MASS J17361012-3329407",M0,"Ia:, Ia:, Ia, Ia, Ia",", , , , ","K5Ia:                     , M0:Ia:                    , M0Ia                      , M0Ia,  M0 Ia","CD-33 12241, Cl Trumpler 27 1, Cl Trumpler 27 1, ","Skiff, Massey 2001","0, 17","Skiff, Massey 2001"," , Trumpler 27",J17361012-3329407,2.325,0.276,1.3330000000000002,0.23399999999999999,0.865,0.24600000000000002,12.07,8.79,2016.0,264.0421632737825,0.0340566,-33.49462196366692,0.029076647,0.3169428432995481,0.036137175,8.770549,1.3872161,-0.05718238365102485,0.048536427,-1.3860370318704665,0.036896072,0.7757894000000001,6.4725623,8.74116,5.084766,3.6563944999999998,2.268598,1.3877964,-18.711357,0.902026,4.5005174000000014,0.023869297999999997,VARIABLE,355.06366726800763,-0.7014575142473928,264.9549778416539,-10.159620220748627,False,False,0.0,6.5335,6.4956,6.5907,4.2518,4.2258,4.293,2820.6997,2559.1814,3100.8926,6.4892507,8.73939,5.1757290000000005,3.5636616,2.2501397,1.3135219,-16.841897425349867,0.8155622769723686,,2386.07124726987,1977.66438316987,2996.48642107847,2058.3854403873,0.8860437,3790.0,110.5,1.69,3.82,0.99,0.21,0.4042238047556183,0.04237688332796097,0.672241762256626,1.1555528331600826,0.865,1.3330000000000002,2.325,2.697769,0.08385845,12.251784261732086,0.21570220739639467,0.2013258529554197,4.393737008213241,0.4607761952443818,0.2496233167005671,1.1694471668399176,0.17744716683991754,-11.791008066487706,0.32990793036280425,0.3206928426217506,-9.093239066487703,0.3403990043356052,0.33147569887583217,3.133369393361397,1359.4692646697756,5.557295626595082,3.5786392099680717,-4.856892347873531,-0.2714781791220469,-0.02344502954465257,-9.433638070823307,Method 1, 
5595705430166381184,5595705430166381184,CD-30  5193,BM VI 1,M0,"I, I:, I:, Iab-Ib",", , , ","M0I                       , M0I:                      , M2I:                      , K4Iab-Ib","[A72c] 8, CD-30 5193, CD-30 5193",Skiff,0,Skiff, ,J07514331-3027038,4.846,0.268,3.52,0.20600000000000002,3.157,0.248,11.85,9.65,2016.0,117.9304517488348,0.013077268999999999,-30.45106844271709,0.016980339,0.2221704251415577,0.020178613999999997,11.010193,3.9572587,-1.3182879673367194,0.017118111000000002,3.7312214213628776,0.0202986,0.94368565,7.9630394,9.748876,6.713697,3.0351787,1.7858362,1.2493424,49.709522,0.32193255,6.135107,0.00773079,NOT_AVAILABLE,246.5416527683753,-1.8110392987849848,129.08084441502504,-50.169932684537926,False,False,0.0,,,,,,,4013.3562,3720.7097,4302.0986,7.9656463,9.766536,6.7150326,3.0515032000000004,1.8008895,1.2506137,50.86964776318482,0.3001260337873244,2.0623,3504.44567175608,3016.00369770886,4167.57929955636,1485.29394648275,0.98355585,3790.0,110.5,1.69,3.82,0.99,0.21,0.2042146086010933,0.007765197548196791,0.3396177729996443,0.5837874137183429,3.157,3.52,4.846,2.697769,0.08385845,13.01753853331827,0.15622738770545902,0.1583397457946794,2.2197240065336232,2.9527853913989066,0.2481215393571516,4.262212586281657,2.9362125862816573,-10.064753141919363,0.2932086202045129,0.2943395545815856,-7.366984141919364,0.3049648087872383,0.3060523043985925,2.788118408447728,613.9293674441652,4.8667936567677454,3.5786392099680717,-9.7912928311686,-4.126971957627822,-0.11165952887004353,-7.671948950706603,Method 1,RedSG
3425055656275589632,3425055656275589632,"HD 42543, BU GEM, BU Gem, HD 42543   , BU Gem    , Gaia EDR3 3425055656275589632, BU Gem, Gaia EDR3 3425055656275589632, HD 42543","HD 42543, BU GEM, BU Gem, HD 42543   , BU Gem    , Gaia EDR3 3425055656275589632, BU Gem, Gaia EDR3 3425055656275589632, HD 42543",M0,"I, Ia, Iae?, , Ia-Iab, Ia-Iab, I, Ia, Ia-Iab, Ia, Ia-Iab, Ia-ab, Ia, Ia, Ia-Iab, I",", , , Ib, , , , , , , , , , , ","M2I                       , M1Ia                      , M1Iae?                    , M2+ Ib                    , M1-M2Ia-Iab               , M1-M2Ia-Iab               , M0I,  M1 Ia, M1-M2 Ia-Iab, M1.0 Ia, M1-M2 Ia-Iab, M1 Ia-ab   , M1 Ia,  M1 Ia,  M1-2 Ia-Iab,  M0 I","6 Gem, [M67b] +22 797, HR 2197, BU Gem, HD 42543, HD 42543, , , , , HD 42543, , BU Gem, ","Skiff, Morgan 1950, Morgan and Keenan 1973, Keenan and McNeil 1989, Blum 2003, Humphreys 1978, Elias 1985, Jura and Kleinmann 1990, Levesque 2005","0, 36, 38, 26, 1, 13, 14, 12, 15","Skiff, Humphreys 1970, White and Wang 1978, Keenan and McNeil 1989, Blum 2003, Humphreys 1978, Elias 1985, Jura and Kleimann 1990, Levesque 2005"," , GEM OB1, , , Within 5 pc of the Galaxy, GEM OB1, , , ",J06121911+2254305,1.8869999999999998,0.202,0.8859999999999999,0.19399999999999998,0.8059999999999999,0.23,8.6,6.37,2016.0,93.07957917737562,0.09793671,22.90850548605153,0.09565917,0.5642309997192667,0.12469176,4.525006299999999,2.089818,0.14420441720169214,0.112483375,-2.084836748338861,0.09379385400000001,1.2555764999999999,5.1597300000000015,6.6472807000000005,3.9836495000000003,2.6636312,1.4875507,1.1760805,26.42395,1.1390296,3.4636737999999996,0.042584788,VARIABLE,188.21790401416112,2.1917235197747544,92.83660078783741,-0.5004568993712247,False,False,0.0,,,,,,,1757.0514,1450.6047,2195.5579,5.2318926,6.8521529999999995,4.1199718,2.732181,1.6202602,1.1119208,26.006596227054523,1.586209924135085,0.983,1468.9026722791,1020.0371385764901,2461.3750395421107,1101.60279097062,0.9979610999999999,3790.0,110.5,1.69,3.82,0.99,0.21,0.052418556602049415,0.004594698218711851,0.08717433869688652,0.14984869985151086,0.8059999999999999,0.8859999999999999,1.8869999999999998,2.697769,0.08385845,11.223922331693485,0.5419333584342159,0.3787257185744857,0.5697669195874937,0.7535814433979505,0.2300458894475645,1.7371513001484888,0.7361513001484891,-10.470340888295533,0.5887383767307083,0.4431188115635372,-7.772571888295532,0.5946806839572913,0.4509839473838111,2.869235957722962,740.0072212047397,5.029028755318214,3.5786392099680717,-9.752582491266839,-0.2531461297015169,0.09825430139501903,-8.367252572252825,Method 1, 
4152386205830965120,4152386205830965120,IRC -10414,IRC -10414                 ,M7,I,,M7I,,Skiff,0,Skiff, ,J18231790-1342473,2.845,0.29,1.403,0.284,0.713,0.336,16,11.1,2016.0,275.82460571062455,0.10031761,-13.713104004497467,0.08627426,0.6350536531888706,0.11202415,5.6688995,3.5169415,-0.20558371024869784,0.13721173,-3.5109277046930836,0.10482171,1.1501256000000002,8.391713000000001,13.197741,6.699269,6.4984717000000005,4.8060274000000005,1.6924443,,,,,VARIABLE,17.55097092243382,-0.12621146964767807,275.7388420264362,9.610218611669772,False,False,0.0,,,,,,,1599.0654,1352.3004,1936.6887,8.58305,13.41651,6.8086543000000015,6.6078553,4.83346,1.7743955000000002,,,,1003.88725693784,813.91690233125,1306.47849189733,1486.4398393969198,1.0760571,3110.0,170.0,2.6,7.86,1.44,0.35,0.17911067690722732,0.19330337643623352,0.2978688431174541,0.5120229133326172,0.713,1.403,2.845,3.213821,0.12901300000000002,11.019331131358712,0.4584801101692468,0.3350978572447877,1.9468551837742096,0.5338893230927726,0.38763667956173625,2.332977086667383,0.8909770866673828,-10.485441808265938,0.6003883799362317,0.5123990332462546,-7.271620808265937,0.6140932835746153,0.5283910705535213,2.9408033835995133,872.5762410076387,4.828648323306375,3.4927603890268366,-6.498614615824362,0.4748458710555032,0.016842342611731294,-7.885714091840553,Method 1,RedSG
5240904332264599936,5240904332264599936,V* V530 Car,HD 96195,M1,"Ib/II, ",", Iab","M0/1Ib/II                 , M2+ Iab",HD 96195,Skiff,0,Skiff, ,J11042916-6257439,3.484,0.27,2.426,0.23,2.066,0.27,10.61,8.32,2016.0,166.12141217122308,0.01761808,-62.96213726705386,0.018043128999999998,0.4152906888536481,0.020564647,20.194399,7.524616,-7.2577540214403955,0.023406174,1.98616436620948,0.022202296,0.88394666,6.8154945000000025,8.532799,5.559348,2.9734507000000003,1.7173042,1.2561464,1.6872681,0.32329562,5.0143857,0.01243632,VARIABLE,291.1184167879996,-2.569841408872384,209.94864863584442,-59.38174504048688,False,False,0.0,,,,,,,2312.3699,2188.634,2419.0557,6.8327789999999995,8.596152,5.6002410000000005,2.9959111000000003,1.7633734,1.2325377,,,1.436,1665.4324889642098,1551.05756953454,1797.63046547513,1931.0423605293,0.8872504000000001,3745.0,170.0,1.7,3.98,1.0,0.22,0.11972299728123632,0.015,0.19910454982640388,0.3422516117930995,2.066,2.426,3.484,2.7319195,0.12901300000000002,11.820286537754738,0.10018521309552124,0.11619641516552486,1.30133692696996,1.946277002718764,0.2704163456597992,3.1417483882069006,2.083748388206901,-9.874009535035976,0.2883783572374928,0.29432398287825445,-7.142090035035974,0.31592155844765485,0.3213579951803269,2.753514362936224,566.910320004849,4.77683601401439,3.5734518220354854,-7.133599724853778,-2.24397001694345,-0.08567577491482561,-7.458011593483628,Method 1,RedSG
447573632774046080,447573632774046080,"BD+54 655, Gaia EDR3 447573632774046080, V411 Per","BD+54 655, Gaia EDR3 447573632774046080, V411 Per",M1,"Ib, Ib:, Ib, Iab, Iab",", , , , ","M1Ib                      , M3Ib:                     , M3Ib,  M3 Iab, M1 Iab","[NBM54] 34, [NBM54] 34, IRC +50089, ","Skiff, Jura and Kleinmann 1990, Dorda 2016","0, 12, 4","Skiff, Jura and Kleimann 1990, Dorda 2016"," , , ",J03150844+5453030,3.535,0.238,2.421,0.184,1.86,0.226,12.68,10.62,2016.0,48.78524481786246,0.028703173999999998,54.88417209861022,0.03474618,0.4249991006595182,0.04479169,9.488347000000001,0.9455779000000001,-0.3476368985400079,0.040211316000000004,-0.8793555785197684,0.04799015,1.0997608,7.279834700000001,9.648772,5.888961,3.7598114000000002,2.3689375,1.3908738999999999,-32.69291,0.34085944,5.2475533,0.010073394,VARIABLE,142.67489135364312,-2.382723515976358,62.315620335933026,35.335829848753036,False,False,0.0,,,,,,,2103.577,1920.9772,2332.098,7.302030999999999,9.679258,5.935233,3.7440252,2.3772273,1.3667979,-32.23193898703436,0.3649115627433859,2.0580000000000003,2507.21508941674,2065.23458087725,3157.4340975339696,925.98775625428,0.94675285,3745.0,170.0,1.7,3.98,1.0,0.22,0.2819590430303756,0.008274563703491215,0.4689101476483419,0.8060350904020518,1.86,2.421,3.535,2.7319195,0.12901300000000002,11.614792068484974,0.2358967827158523,0.18849342224372456,3.064772206851908,1.5780409569696243,0.2261514280398935,2.7289649095979485,1.6149649095979481,-10.036751111515352,0.3267900862942038,0.2944048889431597,-7.304831611515353,0.35133476154399124,0.3214320967212736,2.7860626782321,611.0302036207261,4.841932644606142,3.5734518220354854,-9.869719720706373,1.4254463669468842,-0.06698020461796397,-7.656166373059344,Method 1, 
458512570887734528,458512570887734528,"HD 14404, HD 14404, PR Per, HD 14404   , HD 14404, HD 14404, HD 14404, HD14404  , Gaia EDR3 458512570887734528, PR Per, Gaia EDR3 458512570887734528, PR Per","HD 14404, HD 14404, PR Per, HD 14404   , HD 14404, HD 14404, HD 14404, HD14404  , Gaia EDR3 458512570887734528, PR Per, Gaia EDR3 458512570887734528, PR Per",M1,"I, Ib, Ib:, , , Iab, Iab-Ib, Iab, Iab-Ib, Iab..., Iab-Ib, Iab, Ib, Iab, Iab, Iab-Ib, Iab-Ib",", , , Iab-Ib, Iab-Ib, , , , , , , , , , , ","M2I                       , M2Ib                      , K5:Ib:                    , M1- Iab-Ib                , M1- Iab-Ib,  M2 Iab, M1- Iab-Ib, M0.7 Iab, M1- Iab-Ib,  M1 Iab..., M1- Iab-Ib,  M1 Iab, M0Ib        , M2 Iab,  M2 Iab,  M1- Iab-Ib, M1- Iab-Ib","HD 14404, HD 14404, PR Per, HD 14404, , , , , , , , HD 14404, , PR Per, ","Skiff, Bidelman 1947 and Humphreys 1970, Keenan 1977, Keenan and McNeil 1989, Blaha and Humpreys 1989, Keenan & Newsom 2000, Sloan et al. 2003, De Burgos 2020, Humphreys 1978, Elias 1985, Jura and Kleinmann 1990, Dorda 2016","0, 36, 38, 26, 35, 10, 16, 21, 13, 14, 12, 4","Skiff, Humphreys 1970, White and Wang 1978, Keenan and McNeil 1989, Garmany and Stencel 1992, Rayner 2009, Verhoelst 2009, De Burgos 2020, Humphreys 1978, Elias 1985, Jura and Kleimann 1990, Dorda 2016"," , PER OB1, , , Candidate for Membership in Per OB1, , , Per OB1, PER OB1, , , ",J02214241+5751460,3.556,0.312,2.682,0.192,2.247,0.298,10.21,7.9,2016.0,35.42670024182141,0.013793834,57.862813333154925,0.016631534,0.3620837510160253,0.023867024,15.170879000000001,1.3627148,-0.857061479498248,0.01901334,-1.0594513994725716,0.020762799999999998,1.0449389,6.6684600000000005,8.203557,5.4757953,2.7277617000000003,1.5350971000000002,1.1926646,-46.12834,0.24352555,4.955057,0.007444278,VARIABLE,134.72693462961408,-2.9268373286167195,55.02979743866828,40.86266813634626,False,False,0.0,,,,,,,2525.2566,2352.947,2705.2795,6.6706576,8.211882000000001,5.499791,2.7120905,1.541224,1.1708665,,,1.0390000000000001,1776.4846300721601,1630.4465796022,1950.3684311094198,989.328933849966,1.0162567,3745.0,170.0,1.7,3.98,1.0,0.22,0.11099615939855577,0.015,0.18459143899977207,0.317304238280654,2.247,2.682,3.556,2.7319195,0.12901300000000002,12.011527574257492,0.15480199534221764,0.14816931566272626,1.2064799934625623,2.136003840601444,0.298377277955276,3.238695761719346,2.3646957617193456,-9.875523733656046,0.33614380518155024,0.33314133052499,-7.143604233656049,0.3600514017899833,0.3572499129082618,2.7538172026602386,567.3057725017399,4.77744169346242,3.5734518220354854,-9.94140754665614,1.9596090996800373,-0.10995253274534293,-7.503655635446032,Method 1, 
2199947949140348288,2199947949140348288,"AZ Cep, AZ Cep, AZ Cep, Gaia EDR3 2199947949140348288, V* AZ Cep","AZ Cep, AZ Cep, AZ Cep, Gaia EDR3 2199947949140348288, V* AZ Cep",M1,"Ia, I, Ia, Ia, Ia, I, Ia,   Ia",", , , , , , ","M2Ia                      , M0/1I                     , M1Ia, M2 Ia, M1.6 Ia,  M0-1 I,  M2 Ia, M1   Ia","AZ Cep, BD+58 2396, , , AZ Cep, PER274","Skiff, Sharpless 1966, Elias 1985, Jura and Kleinmann 1990, Dorda 2018","0, 38, 14, 12, 5","Skiff, White and Wang 1978, Elias 1985, Jura and Kleimann 1990, Dorda 2018"," , , , , Perseus Arm",J22083849+5933013,4.273,0.302,3.182,0.24600000000000002,2.424,0.304,12.62,9.33,2016.0,332.16034718888574,0.024328979,59.55039427169121,0.022015588,0.27057453793059183,0.027163802,9.96085,4.343939,-3.611174681854056,0.03408869999999998,-2.4143777811482985,0.026545417999999998,1.0366527,7.631642,9.6200075,6.3286614000000005,3.291346,1.9883657,1.3029803999999998,-48.037983000000004,0.571441,5.7269487,0.018365318000000002,VARIABLE,103.60863427309292,2.9318272799503218,15.678081315272687,62.261216226826534,False,False,0.0,5.215,5.1994,5.2421,3.4649,3.4525,3.4864,3265.1963,3021.6958,3557.4692,7.597485499999999,9.613149,6.3331269999999975,3.2800217000000003,2.0156631000000003,1.2643585,-48.86746068147299,0.5463653384685014,,3803.090538391621,3014.01131772503,5059.276991346789,1621.41072765798,1.1801857,3745.0,170.0,1.7,3.98,1.0,0.22,0.22354973373593084,0.00795303679764747,0.3717729267564937,0.6390606518755415,2.424,3.182,4.273,2.7319195,0.12901300000000002,12.569546478505876,0.1943719397205321,0.16193654802726992,2.4298884101731613,2.2004502662640686,0.3041040131177238,3.6339393481244575,2.5429393481244587,-10.369096212241805,0.3609150893839531,0.3445325766619073,-7.6371767122418035,0.3832806490210886,0.3678954342612761,2.8525316983773905,712.0847718962718,4.974870684896722,3.5734518220354854,-8.867813838455461,3.587379377170344,0.2167508306334421,-8.020457361262894,Method 1, 
2010457973461961344,2010457973461961344,"IRAS 23162+5816            , DO 42870","IRAS 23162+5816            , DO 42870",M1,"Ia,   Ia",", ","M1Ia, M1   Ia",", PER471","Skiff, Dorda 2018","0, 5","Skiff, Dorda 2018"," , Perseus Arm",J23183041+5833108,5.142,0.262,3.763,0.272,3.198,0.396,12.86,11.22,2016.0,349.6266885534916,0.022327662999999998,58.5530557159453,0.021037599999999997,0.2598161740634361,0.026880665,9.665541000000001,3.6851519999999995,-3.0053275103872434,0.030148754,-2.1326867232251026,0.028262291000000002,0.91349876,8.823086,11.05834,7.4822054000000024,3.5761347000000003,2.2352543,1.3408803999999999,-51.583164000000004,0.6604217,6.7862883,0.025255365,VARIABLE,111.04718947742045,-2.157849895505452,26.25827418796925,55.09406082736421,False,False,0.0,,,,,,,3393.6182,3050.4866,3727.598,8.839189,11.05996,7.4931160000000006,3.5668444999999998,2.2207717999999996,1.3460727,-51.24700923700584,0.6908223464361021,1.824,4371.26880701952,3469.85269619443,5705.00216752814,983.612109070709,0.9179879000000001,3745.0,170.0,1.7,3.98,1.0,0.22,0.3781752,0.005634322728858953,0.6289218000000001,1.0810878000000002,3.198,3.763,5.142,2.7319195,0.12901300000000002,12.653314901516573,0.2137034510941032,0.21955940778286973,4.110600000000002,2.8198248,0.3960400807905848,4.0609122000000015,2.6819122,-9.83349010151657,0.4500187891656777,0.4528289733868378,-7.1015706015165705,0.4681466274268593,0.4708486309925701,2.7454104762323417,556.4299221453995,4.7606282406066285,3.5734518220354854,-9.381696156089118,3.589551354657916,-0.1155998090703884,-7.56971722894343,Method 1, 
